userId,movieId,rating
2,17,5.0
2,62,3.0
2,110,4.0
2,150,5.0
2,153,4.0
2,161,3.0
2,165,3.0
2,168,3.0
2,185,3.0
2,186,3.0
2,223,1.0
2,225,3.0
2,235,3.0
2,253,4.0
2,261,4.0
2,265,5.0
2,266,5.0
2,272,3.0
2,292,3.0
2,296,4.0
2,300,3.0
2,317,2.0
2,319,1.0
2,339,3.0
2,349,4.0
2,350,4.0
2,364,3.0
2,377,3.0
2,410,3.0
2,454,4.0
2,457,3.0
2,480,4.0
2,497,3.0
2,500,4.0
2,508,4.0
2,509,4.0
2,527,4.0
2,539,3.0
2,551,5.0
2,552,3.0
2,585,5.0
2,586,3.0
2,587,3.0
2,588,3.0
2,590,5.0
2,592,5.0
2,593,3.0
2,616,3.0
2,661,4.0
4,112,5.0
4,141,5.0
4,153,4.0
4,173,3.0
4,185,3.0
4,260,5.0
4,296,5.0
4,329,3.0
4,349,5.0
4,364,5.0
4,380,3.0
4,410,3.0
4,431,3.0
4,434,4.0
4,435,1.0
4,440,4.0
4,442,4.0
4,480,5.0
4,541,5.0
4,588,5.0
4,590,3.0
4,594,5.0
4,596,5.0
4,616,5.0
4,858,5.0
4,903,5.0
4,910,4.0
4,913,5.0
4,919,5.0
4,1073,5.0
4,1089,5.0
4,1127,5.0
4,1213,5.0
4,1259,4.0
4,1265,5.0
4,1278,5.0
4,1282,5.0
4,1285,4.0
4,1371,4.0
4,1372,3.0
4,1374,4.0
4,1376,3.0
4,1377,3.0
4,1380,5.0
4,1387,5.0
4,1396,5.0
4,1544,3.0
4,1580,5.0
4,1917,4.0
4,1918,2.0
4,1954,5.0
4,1961,5.0
4,1967,3.0
4,1968,5.0
4,1994,5.0
4,2000,5.0
4,2002,3.0
4,2003,2.0
4,2005,5.0
4,2018,5.0
4,2054,3.0
4,2064,5.0
4,2078,5.0
4,2080,5.0
4,2085,5.0
4,2087,5.0
4,2100,5.0
4,2105,4.0
4,2109,5.0
4,2115,5.0
4,2144,5.0
4,2161,5.0
4,2193,3.0
4,2268,5.0
4,2289,5.0
4,2640,5.0
4,2699,4.0
4,2770,1.0
4,2791,5.0
4,3101,4.0
4,3210,4.0
5,3,4.0
5,104,4.0
5,141,4.0
5,150,4.0
5,231,3.5
5,344,3.5
5,364,4.0
5,377,4.0
5,440,4.0
5,500,4.5
5,586,4.0
5,588,3.5
5,595,4.0
5,597,5.0
5,788,3.5
5,858,2.5
5,903,3.5
5,919,4.0
5,1247,4.0
5,1380,5.0
5,1393,3.5
5,1485,4.5
5,1544,3.5
5,1682,4.0
5,1721,4.0
5,1777,4.0
5,1923,4.5
5,1961,4.0
5,1968,4.0
5,1997,3.5
5,2023,1.5
5,2294,4.0
5,2355,3.5
5,2502,3.5
5,2762,3.5
5,2770,3.5
5,3114,3.5
5,3176,3.5
5,4025,4.5
5,4995,4.5
5,5816,3.0
5,5995,4.0
5,6373,4.0
5,8464,4.0
5,30707,4.5
5,30793,3.5
5,33166,5.0
5,40819,4.5
5,41566,4.0
5,48385,4.5
7,21,3.0
7,104,3.0
7,110,5.0
7,112,4.0
7,141,4.0
7,198,2.0
7,260,5.0
7,272,3.0
7,316,2.0
7,318,5.0
7,329,3.0
7,333,3.0
7,345,3.0
7,364,3.0
7,377,3.0
7,380,4.0
7,480,4.0
7,500,3.0
7,539,3.0
7,541,4.0
7,551,4.0
7,588,4.0
7,590,4.0
7,592,3.0
7,594,4.0
7,595,3.0
7,708,3.0
7,745,5.0
7,780,3.0
7,786,2.0
7,924,4.0
7,1073,3.0
7,1278,3.0
7,1371,3.0
7,1372,3.0
7,1374,4.0
7,1375,3.0
7,1376,3.0
7,1394,3.0
7,1405,5.0
7,1408,1.0
8,110,4.0
8,260,3.5
8,296,4.0
8,318,5.0
8,457,4.5
8,527,5.0
8,543,5.0
8,593,4.5
8,628,4.0
8,805,3.5
8,858,5.0
8,1259,4.0
8,1265,3.0
8,1358,0.5
8,1387,4.0
8,1393,3.0
8,1552,3.0
8,1777,5.0
8,1961,5.0
8,2028,4.0
8,2100,3.0
8,2302,4.5
8,2324,4.0
8,2502,5.0
